id_match,id_team_home,name_team_home,id_team_away,name_team_away,score_HT,score_FT,0-75_dif,76-90+_dif,0-75,75+,0-15,16-30,31-45,46-59,60-74,75-79,80-84,85-89,90+,year
329.0,49.0,Chelsea,51.0,Brighton,1-0,3-0,3.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,2018
371.0,47.0,Tottenham,52.0,Crystal Palace,0-0,2-0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2018
389.0,50.0,Manchester City,43.0,Cardiff,2-0,2-0,2.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2018
391.0,41.0,Southampton,40.0,Liverpool,1-1,1-3,0.0,-2.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,2018
385.0,35.0,Bournemouth,44.0,Burnley,1-2,1-3,-2.0,0.0,4.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2018
388.0,37.0,Huddersfield,46.0,Leicester,0-1,1-4,-1.0,-2.0,3.0,2.0,0.0,1.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,2018
390.0,34.0,Newcastle,52.0,Crystal Palace,0-0,0-1,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2018
387.0,45.0,Everton,42.0,Arsenal,1-0,1-0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018
386.0,49.0,Chelsea,48.0,West Ham,1-0,2-0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2018
399.0,46.0,Leicester,34.0,Newcastle,0-1,0-1,-1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2018
403.0,47.0,Tottenham,37.0,Huddersfield,2-0,4-0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2018
395.0,51.0,Brighton,35.0,Bournemouth,0-1,0-5,-3.0,-2.0,3.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,2018
396.0,44.0,Burnley,43.0,Cardiff,1-0,2-0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2018
398.0,36.0,Fulham,45.0,Everton,0-0,2-0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2018
402.0,41.0,Southampton,39.0,Wolves,2-1,3-1,2.0,0.0,4.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2018
401.0,33.0,Manchester United,48.0,West Ham,1-0,2-1,0.0,1.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2018
397.0,52.0,Crystal Palace,50.0,Manchester City,0-1,1-3,-2.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,2018
400.0,40.0,Liverpool,49.0,Chelsea,0-0,2-0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2018
404.0,38.0,Watford,42.0,Arsenal,0-1,0-1,-1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018
366.0,51.0,Brighton,43.0,Cardiff,0-1,0-2,-2.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2018
411.0,50.0,Manchester City,47.0,Tottenham,1-0,1-0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018
406.0,35.0,Bournemouth,36.0,Fulham,0-0,0-1,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2018
410.0,37.0,Huddersfield,38.0,Watford,0-1,1-2,-1.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2018
413.0,48.0,West Ham,46.0,Leicester,1-0,2-2,0.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,2018
414.0,39.0,Wolves,51.0,Brighton,0-0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018
412.0,34.0,Newcastle,41.0,Southampton,2-0,3-1,1.0,1.0,3.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2018
409.0,45.0,Everton,33.0,Manchester United,2-0,4-0,4.0,0.0,4.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2018
405.0,42.0,Arsenal,52.0,Crystal Palace,0-1,2-3,-2.0,1.0,4.0,1.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,2018
407.0,43.0,Cardiff,40.0,Liverpool,0-0,0-2,-1.0,-1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2018
408.0,49.0,Chelsea,44.0,Burnley,2-2,2-2,0.0,0.0,4.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018
372.0,38.0,Watford,41.0,Southampton,0-1,1-1,-1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2018
392.0,47.0,Tottenham,51.0,Brighton,0-0,1-0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2018
374.0,39.0,Wolves,42.0,Arsenal,3-0,3-1,3.0,-1.0,3.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,2018
370.0,33.0,Manchester United,50.0,Manchester City,0-0,0-2,-2.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2018
420.0,40.0,Liverpool,37.0,Huddersfield,3-0,5-0,4.0,1.0,4.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,2018
423.0,47.0,Tottenham,48.0,West Ham,0-0,0-1,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2018
417.0,52.0,Crystal Palace,45.0,Everton,0-0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018
418.0,36.0,Fulham,43.0,Cardiff,0-0,1-0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2018
422.0,41.0,Southampton,35.0,Bournemouth,1-2,3-3,1.0,-1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,2018
424.0,38.0,Watford,39.0,Wolves,0-1,1-2,0.0,-1.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,2018
415.0,51.0,Brighton,34.0,Newcastle,0-1,1-1,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2018
