index,id_match,id_team_home,name_team_home,id_team_away,name_team_away,score_HT,score_FT,0-75_dif,76-90+_dif,0-75,75+,0-15,16-30,31-45,46-59,60-74,75-79,80-84,85-89,90+,year,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HW,D,AW,>2.5,<2.5,match_dif,comeback,dif_class,prob_HW,prob_D,prob_AW,prob_25more,prob_25less,id_country,country
698,157332.0,62.0,Sheffield Utd,47.0,Tottenham,1-0,3-1,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,2019,Sheffield Utd,Tottenham,3,1,H,1,0,4.2,3.4,1.95,2.2,1.66,2.0,0.0,2.0,0.2278350515463917,0.2814432989690721,0.4907216494845361,0.4300518134715025,0.5699481865284974,0,en
699,157331.0,50.0,Manchester City,40.0,Liverpool,3-0,4-0,4.0,0.0,4.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,2019,Manchester City,Liverpool,4,0,H,3,0,2.05,3.9,3.3,1.57,2.37,4.0,0.0,2.0,0.4657980456026058,0.2448425624321389,0.2893593919652551,0.6015228426395939,0.398477157360406,0,en
700,157341.0,71.0,Norwich,51.0,Brighton,0-1,0-1,-1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019,Norwich,Brighton,0,1,A,0,1,3.3,3.4,2.2,2.1,1.72,-1.0,0.0,-1.0,0.288135593220339,0.2796610169491525,0.4322033898305084,0.450261780104712,0.549738219895288,0,en
701,157337.0,46.0,Leicester,52.0,Crystal Palace,0-0,3-0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,2019,Leicester,Crystal Palace,3,0,H,0,0,1.66,3.6,5.75,2.2,1.66,3.0,0.0,1.0,0.5714916760995002,0.2635211617569917,0.1649871621435078,0.4300518134715025,0.5699481865284974,0,en
702,157339.0,33.0,Manchester United,35.0,Bournemouth,3-1,5-2,3.0,0.0,7.0,0.0,1.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,2019,Manchester United,Bournemouth,5,2,H,3,1,1.16,7.5,17.0,1.53,2.5,3.0,0.0,2.0,0.8177270395074399,0.1264751154438173,0.0557978450487429,0.6203473945409429,0.3796526054590571,0,en
703,157344.0,39.0,Wolves,42.0,Arsenal,0-1,0-2,-1.0,-1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2019,Wolves,Arsenal,0,2,A,0,1,2.25,3.4,3.25,2.1,1.72,-2.0,0.0,-1.0,0.4247957712638154,0.2811148486304661,0.2940893801057184,0.450261780104712,0.549738219895288,0,en
704,157336.0,49.0,Chelsea,38.0,Watford,2-0,3-0,2.0,1.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2019,Chelsea,Watford,3,0,H,2,0,1.4,4.75,8.0,1.72,2.1,3.0,0.0,2.0,0.6803939122649956,0.2005371530886302,0.1190689346463742,0.549738219895288,0.450261780104712,0,en
705,157335.0,44.0,Burnley,62.0,Sheffield Utd,1-0,1-1,1.0,-1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2019,Burnley,Sheffield Utd,1,1,D,1,0,2.9,3.0,2.7,2.62,1.5,0.0,1.0,1.0,0.3288672350791718,0.317904993909866,0.3532277710109623,0.3640776699029127,0.6359223300970874,0,en
706,157340.0,34.0,Newcastle,48.0,West Ham,1-1,2-2,0.0,0.0,4.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2019,Newcastle,West Ham,2,2,D,1,1,2.6,3.3,2.75,2.0,1.8,0.0,0.0,0.0,0.3658536585365854,0.2882483370288249,0.3458980044345898,0.4736842105263157,0.5263157894736842,0,en
707,157338.0,40.0,Liverpool,66.0,Aston Villa,0-0,2-0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2019,Liverpool,Aston Villa,2,0,H,0,0,1.33,5.5,8.5,1.5,2.62,2.0,0.0,1.0,0.7151598592626587,0.1729386568762429,0.1119014838610983,0.6359223300970874,0.3640776699029127,0,en
708,157342.0,41.0,Southampton,50.0,Manchester City,1-0,1-0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019,Southampton,Manchester City,1,0,H,1,0,8.5,6.0,1.3,1.53,2.5,1.0,0.0,1.0,0.1116678596993557,0.1581961345740873,0.730136005726557,0.6203473945409429,0.3796526054590571,0,en
709,157343.0,47.0,Tottenham,45.0,Everton,1-0,1-0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019,Tottenham,Everton,1,0,H,1,0,2.1,3.5,3.4,1.9,1.9,1.0,0.0,1.0,0.4509283819628646,0.2705570291777188,0.2785145888594164,0.5,0.5,0,en
710,157349.0,52.0,Crystal Palace,49.0,Chelsea,1-2,2-3,-1.0,0.0,5.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,2019,Crystal Palace,Chelsea,2,3,A,1,2,8.5,4.5,1.4,1.86,2.04,-1.0,0.0,-1.0,0.1116031886625332,0.2108060230292293,0.6775907883082374,0.523076923076923,0.4769230769230769,0,en
711,157353.0,38.0,Watford,71.0,Norwich,1-1,2-1,1.0,0.0,3.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2019,Watford,Norwich,2,1,H,1,1,1.7,3.75,5.0,2.0,1.8,1.0,0.0,1.0,0.5576208178438662,0.2527881040892193,0.1895910780669145,0.4736842105263157,0.5263157894736842,0,en
712,157346.0,42.0,Arsenal,46.0,Leicester,1-0,1-1,1.0,-1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2019,Arsenal,Leicester,1,1,D,1,0,2.3,3.5,3.0,1.9,1.9,0.0,1.0,1.0,0.412573673870334,0.2711198428290766,0.3163064833005894,0.5,0.5,0,en
713,157351.0,50.0,Manchester City,34.0,Newcastle,2-0,5-0,4.0,1.0,4.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2019,Manchester City,Newcastle,5,0,H,2,0,1.12,9.0,21.0,1.36,3.2,5.0,0.0,2.0,0.8490566037735848,0.1056603773584905,0.0452830188679245,0.7017543859649122,0.2982456140350877,0,en
